case_id,dimension,comparison,source_label,target_label,is_flip
self_direction__f990a261__7,self_direction,full_context_vs_profile_only,1,1,false
stimulation__11de77e8__4,stimulation,full_context_vs_profile_only,0,0,false
stimulation__2e6270bb__0,stimulation,full_context_vs_profile_only,0,0,false
stimulation__2e6270bb__9,stimulation,full_context_vs_profile_only,0,0,false
stimulation__440e5deb__3,stimulation,full_context_vs_profile_only,1,1,false
stimulation__5a522de7__7,stimulation,full_context_vs_profile_only,0,0,false
stimulation__5d145c6f__0,stimulation,full_context_vs_profile_only,0,0,false
stimulation__7a086972__0,stimulation,full_context_vs_profile_only,0,-1,true
stimulation__e74a0721__0,stimulation,full_context_vs_profile_only,-1,-1,false
stimulation__f2a0de6f__8,stimulation,full_context_vs_profile_only,0,0,false
stimulation__f990a261__0,stimulation,full_context_vs_profile_only,-1,-1,false
stimulation__f990a261__1,stimulation,full_context_vs_profile_only,-1,-1,false
stimulation__f990a261__10,stimulation,full_context_vs_profile_only,-1,-1,false
stimulation__f990a261__11,stimulation,full_context_vs_profile_only,-1,-1,false
stimulation__f990a261__4,stimulation,full_context_vs_profile_only,1,-1,true
universalism__075f8fdb__0,universalism,full_context_vs_profile_only,1,1,false
universalism__5a522de7__3,universalism,full_context_vs_profile_only,-1,-1,false
universalism__5a522de7__5,universalism,full_context_vs_profile_only,1,1,false
universalism__e809d252__4,universalism,full_context_vs_profile_only,-1,1,true
hedonism__2da4f100__0,hedonism,persisted_vs_full_context,-1,-1,false
hedonism__440e5deb__1,hedonism,persisted_vs_full_context,0,0,false
hedonism__440e5deb__3,hedonism,persisted_vs_full_context,1,1,false
hedonism__440e5deb__4,hedonism,persisted_vs_full_context,1,1,false
hedonism__663cb334__3,hedonism,persisted_vs_full_context,1,0,true
hedonism__663cb334__4,hedonism,persisted_vs_full_context,1,0,true
hedonism__7a086972__1,hedonism,persisted_vs_full_context,-1,0,true
hedonism__7a086972__6,hedonism,persisted_vs_full_context,1,1,false
hedonism__e809d252__4,hedonism,persisted_vs_full_context,1,1,false
hedonism__f2a0de6f__5,hedonism,persisted_vs_full_context,1,0,true
hedonism__f2a0de6f__8,hedonism,persisted_vs_full_context,1,0,true
hedonism__f990a261__1,hedonism,persisted_vs_full_context,-1,-1,false
hedonism__f990a261__10,hedonism,persisted_vs_full_context,-1,-1,false
hedonism__f990a261__11,hedonism,persisted_vs_full_context,-1,1,true
security__58d843b6__10,security,persisted_vs_full_context,1,0,true
security__58d843b6__3,security,persisted_vs_full_context,1,0,true
security__58d843b6__7,security,persisted_vs_full_context,1,1,false
security__606f182e__2,security,persisted_vs_full_context,1,-1,true
security__606f182e__6,security,persisted_vs_full_context,1,0,true
security__755c4960__8,security,persisted_vs_full_context,-1,-1,false
security__799f3751__1,security,persisted_vs_full_context,1,0,true
security__799f3751__2,security,persisted_vs_full_context,1,0,true
security__7a086972__0,security,persisted_vs_full_context,1,0,true
security__7a086972__5,security,persisted_vs_full_context,1,0,true
security__881c7960__1,security,persisted_vs_full_context,1,1,false
security__a13aa34b__5,security,persisted_vs_full_context,1,1,false
security__e74a0721__1,security,persisted_vs_full_context,1,0,true
security__f2a0de6f__4,security,persisted_vs_full_context,-1,0,true
self_direction__5d145c6f__0,self_direction,persisted_vs_full_context,1,0,true
self_direction__606f182e__1,self_direction,persisted_vs_full_context,1,1,false
self_direction__f990a261__2,self_direction,persisted_vs_full_context,1,1,false
self_direction__f990a261__7,self_direction,persisted_vs_full_context,1,1,false
stimulation__11de77e8__4,stimulation,persisted_vs_full_context,1,0,true
stimulation__2e6270bb__0,stimulation,persisted_vs_full_context,0,0,false
stimulation__2e6270bb__9,stimulation,persisted_vs_full_context,0,0,false
stimulation__440e5deb__3,stimulation,persisted_vs_full_context,1,1,false
stimulation__5a522de7__7,stimulation,persisted_vs_full_context,0,0,false
stimulation__5d145c6f__0,stimulation,persisted_vs_full_context,1,0,true
stimulation__7a086972__0,stimulation,persisted_vs_full_context,-1,0,true
stimulation__e74a0721__0,stimulation,persisted_vs_full_context,-1,-1,false
stimulation__f2a0de6f__8,stimulation,persisted_vs_full_context,1,0,true
stimulation__f990a261__0,stimulation,persisted_vs_full_context,-1,-1,false
stimulation__f990a261__1,stimulation,persisted_vs_full_context,-1,-1,false
stimulation__f990a261__10,stimulation,persisted_vs_full_context,-1,-1,false
stimulation__f990a261__11,stimulation,persisted_vs_full_context,-1,-1,false
stimulation__f990a261__4,stimulation,persisted_vs_full_context,-1,1,true
universalism__075f8fdb__0,universalism,persisted_vs_full_context,1,1,false
universalism__5a522de7__3,universalism,persisted_vs_full_context,1,-1,true
universalism__5a522de7__5,universalism,persisted_vs_full_context,1,1,false
universalism__e809d252__4,universalism,persisted_vs_full_context,-1,-1,false
hedonism__2da4f100__0,hedonism,profile_only_vs_student_visible,-1,-1,false
hedonism__440e5deb__1,hedonism,profile_only_vs_student_visible,0,0,false
hedonism__440e5deb__3,hedonism,profile_only_vs_student_visible,1,1,false
hedonism__440e5deb__4,hedonism,profile_only_vs_student_visible,1,1,false
hedonism__663cb334__3,hedonism,profile_only_vs_student_visible,1,1,false
hedonism__663cb334__4,hedonism,profile_only_vs_student_visible,1,1,false
hedonism__7a086972__1,hedonism,profile_only_vs_student_visible,0,0,false
hedonism__7a086972__6,hedonism,profile_only_vs_student_visible,1,1,false
hedonism__e809d252__4,hedonism,profile_only_vs_student_visible,1,1,false
hedonism__f2a0de6f__5,hedonism,profile_only_vs_student_visible,0,0,false
hedonism__f2a0de6f__8,hedonism,profile_only_vs_student_visible,0,0,false
hedonism__f990a261__1,hedonism,profile_only_vs_student_visible,-1,-1,false
hedonism__f990a261__10,hedonism,profile_only_vs_student_visible,-1,-1,false
hedonism__f990a261__11,hedonism,profile_only_vs_student_visible,-1,-1,false
security__58d843b6__10,security,profile_only_vs_student_visible,0,-1,true
security__58d843b6__3,security,profile_only_vs_student_visible,0,0,false
security__58d843b6__7,security,profile_only_vs_student_visible,1,1,false
security__606f182e__2,security,profile_only_vs_student_visible,-1,-1,false
security__606f182e__6,security,profile_only_vs_student_visible,0,0,false
security__755c4960__8,security,profile_only_vs_student_visible,-1,-1,false
security__799f3751__1,security,profile_only_vs_student_visible,0,0,false
security__799f3751__2,security,profile_only_vs_student_visible,0,0,false
security__7a086972__0,security,profile_only_vs_student_visible,0,1,true
security__7a086972__5,security,profile_only_vs_student_visible,0,0,false
security__881c7960__1,security,profile_only_vs_student_visible,1,1,false
security__a13aa34b__5,security,profile_only_vs_student_visible,0,0,false
security__e74a0721__1,security,profile_only_vs_student_visible,0,0,false
security__f2a0de6f__4,security,profile_only_vs_student_visible,0,0,false
self_direction__5d145c6f__0,self_direction,profile_only_vs_student_visible,1,1,false
self_direction__606f182e__1,self_direction,profile_only_vs_student_visible,0,1,true
self_direction__f990a261__2,self_direction,profile_only_vs_student_visible,1,1,false
self_direction__f990a261__7,self_direction,profile_only_vs_student_visible,1,1,false
stimulation__11de77e8__4,stimulation,profile_only_vs_student_visible,0,0,false
stimulation__2e6270bb__0,stimulation,profile_only_vs_student_visible,0,0,false
stimulation__2e6270bb__9,stimulation,profile_only_vs_student_visible,0,0,false
stimulation__440e5deb__3,stimulation,profile_only_vs_student_visible,1,0,true
stimulation__5a522de7__7,stimulation,profile_only_vs_student_visible,0,0,false
stimulation__5d145c6f__0,stimulation,profile_only_vs_student_visible,0,0,false
stimulation__7a086972__0,stimulation,profile_only_vs_student_visible,-1,-1,false
stimulation__e74a0721__0,stimulation,profile_only_vs_student_visible,-1,-1,false
stimulation__f2a0de6f__8,stimulation,profile_only_vs_student_visible,0,0,false
stimulation__f990a261__0,stimulation,profile_only_vs_student_visible,-1,-1,false
stimulation__f990a261__1,stimulation,profile_only_vs_student_visible,-1,-1,false
stimulation__f990a261__10,stimulation,profile_only_vs_student_visible,-1,-1,false
stimulation__f990a261__11,stimulation,profile_only_vs_student_visible,-1,1,true
stimulation__f990a261__4,stimulation,profile_only_vs_student_visible,-1,1,true
universalism__075f8fdb__0,universalism,profile_only_vs_student_visible,1,1,false
universalism__5a522de7__3,universalism,profile_only_vs_student_visible,-1,0,true
universalism__5a522de7__5,universalism,profile_only_vs_student_visible,1,1,false
universalism__e809d252__4,universalism,profile_only_vs_student_visible,1,-1,true
