case_id,dimension,persona_id,t_index,date,selection_reason,selection_rank_within_dimension,persisted_label,run_019_pred,run_020_pred,run_021_pred,run_019_uncertainty,run_020_uncertainty,run_021_uncertainty,mean_uncertainty,n_errors,n_non_neutral_errors,n_missed_active,n_severe_flip,n_correct,has_human_overlap,human_majority_label,judge_human_majority_disagree,blind_review_priority,blind_review_rank,full_context_label,full_context_rationales_json,profile_only_label,profile_only_rationales_json,student_visible_label,student_visible_rationales_json
hedonism__440e5deb__3,hedonism,440e5deb,3,2025-12-24,stable_non_neutral_miss,11,1,-1,-1,-1,0.6060915589332581,0.6998541951179504,0.6776309013366699,0.6611922184626261,3,3,0,3,0,true,1,false,false,,1,"{""hedonism"": ""Priya spends the day lazing, watching a movie, playing cards, reading 'an actual novel, not a teaching resource,' and eating leftovers while explicitly noting she 'hasn't thought about school once today,' followed by a planned day trip to try a famous food destination.""}",1,"{""stimulation"": ""Priya seeks out novel pleasures \u2014 the night market, buying ridiculous couple keychains, and planning a day trip to Malacca specifically to try a new chicken rice ball place."", ""hedonism"": ""The entire day is devoted to sensory pleasure and rest \u2014 biryani, card games with the grandma, reading a novel in the garden swing \u2014 and she notes the deliberate contrast with work: \""an actual novel, not a teaching resource.\"""", ""benevolence"": ""She invests warmly in Arjun's family circle \u2014 catching up with Kavitha, playing cards with his grandma, and finding it \""nice talking\"" when she spontaneously shared a student story with Kavitha.""}",1,"{""hedonism"": ""The entire day is devoted to pleasure \u2014 lazing around, watching a movie, eating leftovers, reading \""an actual novel, not a teaching resource,\"" and planning a trip specifically to eat at a \""famous chicken rice ball place.\"""", ""benevolence"": ""Priya invests the holiday in quality time with Arjun and his family, catching up with his sister Kavitha, playing cards with his grandma, and noticing Arjun's caring concern when he says \""you looked really worn out.\""""}"
hedonism__f2a0de6f__8,hedonism,f2a0de6f,8,2025-09-28,stable_non_neutral_miss,12,1,0,-1,-1,0.5146823525428772,0.9749934673309326,0.5034574270248413,0.664377748966217,3,3,1,2,0,false,,false,false,,0,{},0,"{""benevolence"": ""Sarah accepts Lisa's invitation for brunch, noting it is \""the first social plan I've made in three weeks that isn't work-related,\"" indicating she is actively investing in a close friendship.""}",0,{}
hedonism__f990a261__11,hedonism,f990a261,11,2025-11-16,stable_non_neutral_miss,13,-1,0,1,1,0.6651684045791626,0.969746470451355,0.9424241185188293,0.8591129978497823,3,3,1,2,0,false,,false,false,,1,"{""stimulation"": ""Brooke explicitly longs to 'walk into a room and not know what's about to happen' and to 'be surprised by something,' expressing that predictable domestic routine has replaced the thrill she once had in high-stakes event planning."", ""hedonism"": ""Brooke articulates 'I don't want to plan other people's good times anymore. I want to have my own,' framing her core desire as experiencing personal pleasure, and reflecting that she has 'become the kind of person who needs permission to enjoy things.'""}",-1,"{""self_direction"": ""Brooke describes having become \""the kind of person who needs permission to enjoy things\"" and defaults to \""maybe\"" as a way to avoid asserting her own preferences, abdicating her autonomy in practice."", ""stimulation"": ""She explicitly articulates craving novelty and surprise: \""I want to walk into a room and not know what's about to happen\"" and names \""the chaos of event day when everything could go wrong\"" as what she misses most."", ""hedonism"": ""Despite articulating a desire for pleasure, Brooke actively suppresses it \u2014 \""it's just easier to say maybe and keep making lunches\"" \u2014 choosing habitual self-denial over pursuing enjoyment.""}",-1,"{""self_direction"": ""\""Maybe is how you say no without having to defend it\"" \u2014 the persona actively avoids making autonomous choices by defaulting to deflection, and the nudge response confirms she is \""the only one who knows\"" she wants something different but won't act on it."", ""hedonism"": ""She explicitly acknowledges \""I became the kind of person who needs permission to enjoy things\"" and continues to suppress her own pleasure by saying \""maybe\"" and \""keep making lunches\"" rather than pursuing the experiences she craves.""}"
hedonism__440e5deb__1,hedonism,440e5deb,1,2025-12-10,judge_human_majority_disagree,14,0,-1,-1,-1,0.3505098223686218,0.32826071977615356,0.3642156720161438,0.3476620713869731,3,0,0,0,0,true,-1,true,false,,0,"{""achievement"": ""Priya stays until 6:30pm cutting laminated shapes to create engaging activities, and the critique from her mentor about prioritizing 'student engagement over curriculum coverage' stings because her teaching quality and recognition matter deeply to her."", ""conformity"": ""Despite internally defending her methods, Priya ultimately defers to her mentor's authority \u2014 'I'll focus on pacing next term and it'll be fine' \u2014 rationalizing the feedback and adjusting behavior to meet institutional expectations.""}",0,"{""conformity"": ""After Mrs. Tan's critical feedback, Priya commits to adjusting her behavior to meet institutional expectations \u2014 \""I'll focus on pacing next term\"" \u2014 prioritizing approval over her own pedagogical approach."", ""benevolence"": ""Priya's teaching approach is driven by genuine care for her students \u2014 she invests extra hours making materials and finds real satisfaction when Aisha says \""math is her favorite subject now because of my fraction pizza activity.\""""}",0,"{""achievement"": ""She stays until 6:30pm cutting laminated shapes and invests extra effort into creative lessons, demonstrating a drive to excel as a teacher even at personal cost."", ""conformity"": ""After privately questioning Mrs. Tan's criticism, she resolves in the nudge response to \""focus on pacing next term\"" \u2014 backing down from her own approach to meet the senior teacher's expectations."", ""benevolence"": ""She notices and values that \""Aisha told me yesterday that math is her favorite subject now,\"" showing investment in individual students' wellbeing and growth.""}"
security__799f3751__2,security,799f3751,2,2025-05-22,stable_non_neutral_miss,1,1,0,0,0,0.0,0.0,0.1979486644268036,0.06598288814226787,3,3,3,0,0,false,,false,true,1,0,"{""self_direction"": ""Meera reveals she 'stopped asking' for what she wants and learned 'how to not need things,' actively suppressing her own autonomous desires to avoid friction in the household."", ""hedonism"": ""Meera has reduced her personal pleasure to waking 20 minutes early for a solitary cup of chai \u2014 'my one thing' \u2014 having systematically eliminated larger pleasures to 'need smaller things that nobody would notice,' a clear pattern of pleasure-denial."", ""conformity"": ""Meera's entire coping strategy is built around keeping harmony \u2014 nodding at home remedies she knows won't work, never asking for what she wants, structuring her needs to be invisible \u2014 to avoid disrupting the household's social expectations.""}",0,"{""self_direction"": ""Meera has systematically erased her own preferences and needs: \""somewhere along the way I stopped asking... it was just easier to figure out how to not need things,\"" describing a complete abdication of self-authored choices."", ""hedonism"": ""She actively suppresses any personal pleasure \u2014 reducing her sole enjoyment to 20 stolen minutes of morning chai and framing even that as barely permitted, describing having learned \""to need smaller things that nobody would notice.\"""", ""benevolence"": ""Meera's entire orientation is toward family care \u2014 the kids are recovering, she appreciates Mummyji's unsolicited kindness with khichdi, and her own wellbeing is entirely framed around others' needs.""}",0,"{""self_direction"": ""\""Somewhere along the way I stopped asking. It was just easier to figure out how to not need things\"" \u2014 she has progressively surrendered self-advocacy, choosing to minimize her own desires rather than express and pursue them autonomously.""}"
security__7a086972__5,security,7a086972,5,2025-08-08,stable_non_neutral_miss,2,1,0,0,0,0.0,0.0,0.1979486644268036,0.06598288814226787,3,3,3,0,0,false,,false,true,2,0,"{""conformity"": ""Lucie avoids the party because a comment she made three weeks ago \u2014 that the supervisor 'gives vague feedback' \u2014 'felt like I'd broken some rule I didn't know existed,' and she replays what she should have said differently to avoid future social missteps.""}",0,"{""hedonism"": ""Despite social anxiety, Lucie genuinely enjoys her solo evening \u2014 \""leftover macarons and a show about renovating houses in Normandy\"" \u2014 and her closing reflection that \""the mouth-shut version... has fewer macarons\"" acknowledges that authentic pleasure comes from choosing her own comfort over social performance.""}",0,"{""self_direction"": ""She skipped the party because she said something honest about her supervisor and \""could feel the room shift\"" \u2014 choosing to stay silent and absent rather than risk speaking her mind again, actively suppressing authentic self-expression."", ""conformity"": ""Her decision to avoid the party stems from replaying a comment that \""felt like I'd broken some rule I didn't know existed,\"" and she concludes \""the mouth-shut version of me has fewer problems\"" \u2014 actively regulating behavior to restore social harmony.""}"
security__a13aa34b__5,security,a13aa34b,5,2025-10-20,stable_non_neutral_miss,3,1,0,0,0,0.0,0.0,0.1979486644268036,0.06598288814226787,3,3,3,0,0,false,,false,true,3,1,"{""self_direction"": ""Nadia spontaneously experiments in the empty studio 'without really deciding to,' letting the letters drift and creating a second version on her own terms \u2014 private creative authorship independent of both her professor's demands and her family's expectations."", ""stimulation"": ""She lets the letters 'drift apart, stretched the connections, let the lam curve wider than it should,' a deliberate departure from predictable classical form that introduces novelty into a highly codified practice."", ""security"": ""Nadia keeps both sheets private \u2014 'I haven't shown anyone' \u2014 specifically to avoid triggering pressure from either her professor or her grandmother, protecting herself from conflict and unwanted change by concealing the experiment."", ""tradition"": ""Nadia begins by writing the bismillah in 'perfect form, clean lines' exactly as her grandfather taught her, and even the experimental version still reads as the sacred phrase, with her noting 'Jiddo would have recognized the hand.'""}",0,"{""self_direction"": ""Nadia spontaneously experiments with the calligraphy form \""without really deciding to\"" and then keeps both sheets private, owning her exploration without external validation or direction."", ""tradition"": ""She begins by writing the bismillah \""the way jiddo taught me. Perfect form, clean lines\"" and even her modified version is described with reverence \u2014 \""Teta could still read it. Jiddo would have recognized the hand\"" \u2014 grounding the experiment in inherited heritage.""}",0,"{""self_direction"": ""Without being directed to, she spontaneously began an experimental variation \u2014 letting letters \""drift apart\"" and \""curve wider than it should\"" \u2014 and keeps both sheets private to protect her creative process from external pressure."", ""tradition"": ""She begins by writing the bismillah \""in naskh the way jiddo taught me\"" with \""perfect form, clean lines,\"" and the experimental version is evaluated against whether \""Teta could still read it\"" and \""Jiddo would have recognized the hand\"" \u2014 ancestral transmission remains her reference point.""}"
security__58d843b6__10,security,58d843b6,10,2025-06-27,stable_non_neutral_miss,4,1,0,0,0,0.0,0.1414213627576828,0.1414213627576828,0.09428090850512187,3,3,3,0,0,false,,false,false,,0,"{""tradition"": ""Tariq agonizes over the rebranded label \u2014 'The crest is there, the Arabic is there, just smaller' \u2014 and frames his resistance around the fact that his father 'earned the right to decide what stayed and what evolved,' revealing that preserving his father's legacy is the lens through which all business decisions are filtered.""}",0,"{""tradition"": ""Tariq's anguish over the modernization proposal centers on inherited continuity: \""He earned the right to decide what stayed and what evolved. I inherited the decision and it does not sit the same way\"" \u2014 he measures the change against his father's legacy."", ""benevolence"": ""His deepest concern is \""this weight in my chest every time I think about the company ten years from now with no family in it,\"" framing the business's future in terms of family continuity rather than profit or status.""}",-1,"{""security"": ""The persona is paralyzed by the threat of destabilization \u2014 unable to answer the distributor's proposal or the question about her daughter's London move \u2014 expressing \""this weight in my chest every time I think about the company ten years from now with no family in it,\"" indicating her sense of safety depends on preserving the status quo."", ""tradition"": ""\""He was the one making those changes. He earned the right to decide what stayed and what evolved\"" \u2014 she experiences the proposed modernization as a violation of inherited stewardship, measuring every change against what her father built.""}"
security__f2a0de6f__4,security,f2a0de6f,4,2025-09-18,stable_non_neutral_miss,5,-1,0,0,0,0.0,0.2398979514837265,0.1979486644268036,0.1459488719701767,3,3,3,0,0,false,,false,false,,0,"{""self_direction"": ""Sarah 'heard myself saying sure' without consciously choosing to volunteer, driven entirely by social pressure from 'everyone's looking at me like I'm the one who always says yes,' and her nudge response shows she cannot envision exercising independent refusal."", ""conformity"": ""When the principal publicly singled her out and 'everyone turned and smiled,' Sarah agreed to chair the workshop, unable to deviate from her established role as the always-available, compliant team member."", ""benevolence"": ""Sarah's worry that saying no would mean 'they'd all be doing me a favor and I'd feel like I wasn't pulling my weight' reflects her drive to support and not burden her school community, even at personal cost.""}",0,"{""self_direction"": ""Sarah is unable to refuse when social pressure is applied \u2014 \""I heard myself saying sure\"" \u2014 passively accepting an additional obligation rather than authoring her own boundaries."", ""hedonism"": ""Already overextended with book club and bus duty, Sarah takes on more work despite her mother's warning that \""you can't pour from an empty cup,\"" actively choosing obligation over rest or personal renewal."", ""conformity"": ""The entire episode is driven by inability to violate the social expectation that she is \""the one who always says yes\"" \u2014 she accepts the workshop to avoid the discomfort of being seen as not pulling her weight."", ""benevolence"": ""Her reasoning for not refusing is framed as collective responsibility: \""then they'd all be doing me a favor and I'd feel like I wasn't pulling my weight\"" \u2014 prioritizing colleagues' wellbeing over her own capacity.""}",0,"{""self_direction"": ""\""I don't know how to say no when everyone's looking at me\"" \u2014 she agreed to an additional commitment she didn't choose because social pressure overrode her own preferences, demonstrating an inability to author her own boundaries."", ""conformity"": ""Principal Davis looked at her in front of the group and she \""heard myself saying sure\"" \u2014 she accepted an unwanted role to meet the social expectation of being \""the one who always says yes,\"" prioritizing harmony over her own limits.""}"
security__799f3751__1,security,799f3751,1,2025-05-20,stable_non_neutral_miss,6,1,0,0,0,0.0,0.0,0.4535573720932007,0.15118579069773355,3,3,3,0,0,false,,false,false,,0,"{""hedonism"": ""Meera experiences 'burning jealousy' seeing her friend's spa confirmation while 'elbow-deep in laundry' with sick children, thinking 'that could have been me' \u2014 the entry captures complete denial of personal pleasure despite intense desire for it."", ""conformity"": ""Even while exhausted and knowing the home remedies won't work, Meera 'just nod[s] and say[s] yes, good idea' to Mummyji to keep the peace, prioritizing household harmony over honest disagreement."", ""benevolence"": ""Meera has been managing sick children since 3am, and despite her exhaustion, guilt immediately follows her jealous thought \u2014 'my babies need me and I love them' \u2014 demonstrating that care for her children remains paramount.""}",0,"{""hedonism"": ""Meera is trapped in exhausting caregiving while the spa event she was excluded from represents everything she is denied \u2014 \""they're going to have mimosas and get massages and laugh\"" \u2014 her \""burning jealousy\"" confirms active pleasure deprivation."", ""conformity"": ""Despite disagreeing with her mother-in-law's remedies, Meera \""just nod[s] and say[s] 'yes, good idea' because I don't have the energy to argue,\"" suppressing her impulse to push back in order to maintain domestic harmony."", ""benevolence"": ""Even in her exhausted state she prioritizes her children's needs completely and feels guilty for her jealousy \u2014 \""my babies need me and I love them\"" \u2014 demonstrating care for close family above her own desires.""}",0,"{""hedonism"": ""She has been denied any personal pleasure since 3am, watching Priya's spa message with \""burning jealousy\"" while stuck in sick-child caregiving \u2014 her desire for even \""just an hour\"" of rest is completely subordinated to others' needs."", ""benevolence"": ""She has been cleaning vomit since 3am, doing multiple sheet changes, and caring solo for sick children all day \u2014 prioritizing her children's wellbeing entirely at the expense of her own rest and desires.""}"
